BOLD_ID,Phylum,Class,Order,Family,Genus,Species
BOLD:ADE2009,Arthropoda,Insecta,Lepidoptera,Saturniidae,Janiodes,Janiodes russea
BOLD:ADE2149,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Urbanus,Urbanus doryssus
BOLD:ADE3387,Arthropoda,Insecta,Lepidoptera,Saturniidae,Othorene,Othorene verana
BOLD:ADE3639,Arthropoda,Insecta,Coleoptera,Latridiidae,Corticarina,Corticarina minuta
BOLD:ADE3778,Arthropoda,Insecta,Diptera,Sciaridae,Corynoptera,Corynoptera unidentata
BOLD:ADE3779,Arthropoda,Insecta,Diptera,Sciaridae,Corynoptera,Corynoptera unidentata
BOLD:ADE4076,Arthropoda,Insecta,Hymenoptera,Formicidae,Odontomachus,Odontomachus meinerti
BOLD:ADE4303,Arthropoda,Insecta,Diptera,Sciaridae,Corynoptera,Corynoptera defecta
BOLD:ADE4304,Arthropoda,Insecta,Diptera,Sciaridae,Corynoptera,Corynoptera defecta
BOLD:ADE4510,Arthropoda,Insecta,Diptera,Sciaridae,Corynoptera,Corynoptera defecta
BOLD:ADE4547,Arthropoda,Insecta,Thysanoptera,Thripidae,Caliothrips,Caliothrips fasciatus
BOLD:ADE5284,Arthropoda,Insecta,Hymenoptera,Formicidae,Rhytidoponera,Rhytidoponera kaksp2_auratagp
BOLD:ADE5574,Arthropoda,Insecta,Hymenoptera,Formicidae,Crematogaster,Crematogaster sp. H SPQ-2003
BOLD:ADE5575,Arthropoda,Insecta,Hymenoptera,Formicidae,Crematogaster,Crematogaster sp. H SPQ-2003
BOLD:ADE5576,Arthropoda,Insecta,Hymenoptera,Formicidae,Crematogaster,Crematogaster sp. H SPQ-2003
BOLD:ADE5745,Arthropoda,Insecta,Hymenoptera,Formicidae,Crematogaster,Crematogaster sp. H SPQ-2003
BOLD:ADE5746,Arthropoda,Insecta,Hymenoptera,Formicidae,Crematogaster,Crematogaster sp. H SPQ-2003
BOLD:ADE5747,Arthropoda,Insecta,Hymenoptera,Formicidae,Crematogaster,Crematogaster sp. H SPQ-2003
BOLD:ADE5748,Arthropoda,Insecta,Hymenoptera,Formicidae,Crematogaster,Crematogaster sp. H SPQ-2003
